title,text,keywords,segment,date,url
Kongsberg Maritime secures equipment contract for new Offshore Support Vessel for DOF,"Kongsberg Maritime secures equipment contract for new Offshore Support Vessel for DOF Kongsberg Maritime is pleased to announce that it has secured a contract to supply an integrated package of equipment for a new Offshore Support Vessel (OSV) being built for ship owner DOF. 02 April 2025 Text: Global Sales and Marketing Photo: ©Kongsberg Maritime The new 110 metre OSV, with a capacity to accommodate 164 people, is designed by MMC Ship Design and constructed at CRIST shipyard in Gdynia, Poland. The vessel will operate offshore Newfoundland, known for its harsh environmental conditions. It will be equipped with a comprehensive range of Kongsberg Maritime systems, including the DC main switchboard, battery hybrid system, main power generator, thruster induction motor, and distribution transformer. One of the biggest features is the DC electric system, which offers several compelling advantages over traditional AC systems, including enhanced energy efficiency, reduced space and weight requirements, improved power quality, and better dynamic response. These benefits make DC electrical systems increasingly favoured for modern offshore vessels, particularly those focused on energy efficiency, hybrid propulsion, and advanced operational capabilities. Kongsberg Maritime’s battery-hybrid propulsion system will comprise two 1MWh battery packs, this advanced system will be complemented by a DC electric system designed to ensure the highest operational efficiency. With these innovations, the new ship is set to achieve fuel savings of up to 35% compared to similar vessels, marking a significant step forward in sustainable maritime technology. DOF has also selected a range of Kongsberg Maritime technology to support its offshore operations, for navigation, automation and control systems, as well as the company’s K-Pos Dynamic Positioning system (DP-3) . For more information, please contact: Craig Taylor Senior Manager PR & Communications (+44) 774 9584 285",Ship Owner; Offshore Support Vessel; DOF; DC main switchboard|battery hybrid system|main power generator|thruster induction motor|and distribution transformer,,02 April 2025,https://www.kongsberg.com/maritime/news-and-events/news-archive/2025/kongsberg-maritime-secures-equipment-contract-for-new-offshore-support-vessel-for-dof/
Damen and Kongsberg mark delivery of 1500th thruster,"Damen and Kongsberg mark delivery of 1500th thruster Damen and Kongsberg celebrated the 1500th azimuth thruster supplied to the Dutch ship builder, with thruster number 1500 destined for a Damen ASD tug under construction in Vietnam 11 December 2024 In a ceremony in Rauma, Finland, Damen Shipyards Group and Kongsberg Maritime have celebrated the delivery of the 1500 th Kongsberg azimuth thruster to Damen, in a relationship spanning more than 40 years. This latest delivery continues the supply of azimuth thrusters for Damen’s wide range of tug designs, operating for its customers in ports across the world. Thruster number 1500 is one of a pair which will be installed on a Damen ASD Tug 2813, currently under construction at Damen Song Cam Shipyard in Vietnam. We fully appreciate the quality and capability that Kongsberg helps bring to our tugs. We are also grateful for their strong client focus and the way Kongsberg supports Damen's operational excellence initiatives, resulting in shorter lead times and optimised processes Martin de Bruijn, Managing Director of Damen Workboats Speaking at the event, Ville Rimpilä Senior Vice President Thrusters at Kongsberg Maritime said, “Today marks a special milestone in our long, collaborative relationship with Damen, one of the world’s leading and most innovative tug builders. Our azimuth thruster technology is a critical part of global shipping operations, offering high thrust and efficiency to tug owners worldwide. “To have reached 1500 thrusters is testament to the trust which Damen places in Kongsberg Maritime, matched by the pride, dedication and focus on quality, that goes into every single thruster we supply. I express my sincere gratitude to the team at Damen and look forward to continuing this long relationship as together we drive the efficient, safe and sustainable future of the global tug sector.” Watch video 40 years and 1500 thrusters... See how Kongsberg Maritime and Damen have forged an enduring partnership that benefits tug owners worldwide Martin de Bruijn, Managing Director of Damen Workboats, said, “At Damen we take a long-term view in all that we do. You can see this in the long-standing relationships we enjoy with our clients, and with partners such as Kongsberg. The continual evolution of our products is dependent on such partnerships and their products. As such, we fully appreciate the quality and capability that Kongsberg helps bring to our tugs. We are also grateful for their strong client focus and the way Kongsberg supports Damen's operational excellence initiatives, resulting in shorter lead times and optimised processes. These are crucial factors in the development of high standard, cost effective solutions relevant to our clients’ needs. “This collaborative approach has never been as important as it is today, as we fix our sights on optimising the safe and sustainable performance of our vessels. We look forward to our continued cooperation in the years ahead and the delivery of the next 1500 thrusters!” For more information, please contact: Craig Taylor Senior Manager PR & Communications (+44) 774 9584 285",,,11 December 2024,https://www.kongsberg.com/maritime/news-and-events/news-archive/2024/Damen-and-Kongsberg-mark-delivery-of-1500th-thruster/
Newsroom,"Newsroom Year Any 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 Month Any January February March April May June July August September October November December Category Any Partnerships Vessel Operations Passenger Maritime Training Cargo Simulation K-Sim Green Technologies Renewable Energy Energy Solutions Upgrades & Retrofit Offshore oil & gas Ship design Offshore Wind Waterjets Yacht 30 Apr 2025 partnerships vessel operations passenger Aquarius stabilisers for Chesapeake newbuilds Kongsberg Maritime is continuing its 15-year partnership with Chesapeake Shipbuilding in the USA, through the supply of its Aquarius retractable stabilisers. The stabilisers will be installed on the… 29 Apr 2025 maritime training cargo simulation k-sim Capital Group Invests in KONGSBERG’s K-Sim Engine and -Cargo Simulators for New Training Center in Chios, Greece Kongsberg Maritime has secured a contract with Capital Group, Greece, to deliver advanced K-Sim Engine Room and Cargo simulators for their training centre on the Greek island of Chios. The investment… 02 Apr 2025 green technologies renewable energy energy solutions Kongsberg Maritime secures equipment contract for new Offshore Support Vessel for DOF Kongsberg Maritime is pleased to announce that it has secured a contract to supply an integrated package of equipment for a new Offshore Support Vessel (OSV) being built for ship owner DOF. 14 Mar 2025 Kongsberg Maritime wins design and equipment contract for Olympic Group’s two subsea construction vessels Kongsberg Maritime has signed a significant contract for the design of two multipurpose subsea vessels. The UT7623 SEV (Sustainable Energy Vessel) vessels will be methanol-ready and feature battery… 06 Mar 2025 green technologies upgrades & retrofit energy solutions Kongsberg Maritime to be key player in hybrid conversion of MF Hamlet for Öresundlinjen Kongsberg Maritime has secured its latest upgrade project to convert the double ended car ferry MF Hamlet to emission-free battery powered operation. The ferry, operated by Öresundlinjen, on the… 28 Feb 2025 offshore oil & gas ship design offshore wind ST Engineering Marine Ltd., Singapore, selects Kongsberg Maritime design and equipment for new walk-to-work OSV. Kongsberg Maritime will supply the design and integrated equipment package for a new walk-to-work offshore service vessel (OSV), to be built by ST Engineering Marine in Singapore for a leading oil &… 25 Feb 2025 partnerships waterjets yacht Kongsberg Maritime and G-jet s.r.l. partner to enhance waterjets support in yacht segment Kongsberg Maritime has signed a service representation agreement with G-jet s.r.l., a leading service provider in the yacht segment and part of the V610 AG group. The agreement aims to strengthen… 17 Feb 2025 green technologies offshore oil & gas energy solutions Kongsberg Maritime secures contract to equip  Bibby Marine's groundbreaking eCSOV Kongsberg Maritime has won a major contract to supply an integrated package of equipment for Bibby Marine’s new eCSOV, the world’s first full-electric offshore vessel. Load more",,,30 Apr 2025,https://www.kongsberg.com/maritime/news-and-events/news-archive/
KONGSBERG successfully demonstrates autonomous vessel operations on Belgium’s inland waterway network,"KONGSBERG successfully demonstrates autonomous vessel operations on Belgium’s inland waterway network Kongsberg Maritime successfully completed a live trial of autonomous shipping technology in Bornem, Belgium, demonstrating the progress the company has made in fully autonomous systems. 02 June 2023 Text: Craig Taylor, Senior Manager PR & Communications Photo: ©Kongsberg Maritime (Martin Giskegjerd) The test vessel, Zulu 4 , an inland waterway barge owned by Blue Line Logistics NV, is equipped for remote-operated and autonomous transport demonstrations for the AUTOSHIP project, which is part of Horizon 2020, an EU research programme. Onshore remote operation centre (ROC) provided support. As part of the test, Zulu 4 manoeuvred and navigated on unrestricted waterways, and it demonstrated berthing and unberthing capability. To achieve this, the vessel was upgraded with onboard control technology, while an onshore remote operation centre (ROC) provided support. A safety crew was onboard the vessel during the test. The Zulu 4 completed a 16.5-kilometre circuit starting from a port in Niel on the Rupel River. The vessel entered a busy sea canal before traversing locks and passing several bridges as well as a yacht club and marina. KONGSBERG technologies used in the trial included Autodocking, Autocrossing and automatic navigation systems. The company has also developed cloud-based communications systems and advanced simulations to test and ensure that the vessel operated safely and optimally. Pål André Eriksen Senior Vice President, Remote & Autonomous Solutions, Kongsberg Maritime “We are delighted with the performance of the Zulu 4 on what is a challenging route through the busy Belgian waterways. The course that the ZULU 4 completed provided an opportunity to test our technology in a real-life situation, where numerous manoeuvres were performed successfully and safely. “The test run provides all partners within AUTOSHIP with essential experience and data, which can help us advance the adoption of remote-controlled and autonomous technology in the maritime sector."" “Together with last week’s successful demonstration of a coastal cargo ship in Norway, we have proved that these technologies are applicable across different vessel types and suited to a variety of operations”. Antoon Van Coillie, CEO, ZULU Associates, which develops emission-free inland vessels, added: ""The fitting out of Zulu 4 with digital technology from Kongsberg Maritime and its testing is a major step forward to achieving autonomous operation of inland waterway barges. This will allow the industry to respond to the triple challenges of zero emission transport, real modal shift and the looming workers shortage crisis. “Kongsberg Maritime is a very strong partner and their extensive maritime know-how benefits tremendously the development of digitalisation on inland waterways”. 
Antoon Van Coillie, CEO, ZULU Associates Under remote monitoring from the ROC, the team and vessel had to show situational awareness, engine and machinery monitoring, berthing/unberthing and manoeuvring in port. The same tasks were demonstrated under autonomous control, as well as collision avoidance, grounding avoidance, transit sailing and automatic mooring. Zulu 4 also demonstrated the ability to switch between autonomous operation and remote-controlled operation. This live trial of the technology follows from another demonstration of autonomous ship technology on May 25 in Alesund, Norway, in which a cargo vessel, Eidsvaag Pioneer, completed a range of tasks autonomously. Both vessels are equipped with remote and fully autonomous operation technology as part of the AUTOSHIP project, part of the EU research programme Horizon 2020. AUTOSHIP is a collaboration between KONGSBERG and Norway’s leading research organisation, SINTEF, as well as several European partners. The aim of the AUTOSHIP project is to test and develop fully autonomous navigation systems, intelligent machinery systems, self-diagnostics, prognostics and operation scheduling, as well as communication technology enabling a prominent level of cyber security and integrating the vessels into upgraded e-infrastructure. The successful test of the Zulu 4 barge verifies the maturity of key enabling technologies and helps build the real-world data required to assure the safety and security of autonomous operations on European waterways to regulators and customers. Europe's inland waterways offer positive environmental impacts by using autonomous shipping technology. An autonomous barge in operation is expected to take around 7,500 trucks off the roads each year and will result in reductions in both traffic congestion and emissions. Read AUTOSHIP demonstration 1 For further information, please contact: Craig Taylor Senior Manager PR & Communications (+44) 774 9584 285",AUTOSHIP; autonomous; transport; Zulu 4; Blue Line Logistics NV; EU research,,02 June 2023,https://www.kongsberg.com/maritime/news-and-events/news-archive/2023/trial-of-autonomous-shipping/
Kongsberg Maritime secures contract from Tärntank for its next wind-assisted chemical tanker,"Kongsberg Maritime secures contract from Tärntank for its next wind-assisted chemical tanker Kongsberg Maritime continues to solidify its reputation as a leader in next-generation cargo ship development having been awarded a further contract from Danish operator Tärntank to design and equip its eleventh hybrid chemical tanker, which will be wind-assisted. This latest ordered brings the total of vessels order by Tärntank to 11, with the latest five featuring wind-assist technology. Text: Craig Taylor, Senior Manager PR & Communications - Phone: (+44) 774 9584 285 Photo: ©Kongsberg Maritime The new 15,000 dwt vessels are equipped with a range of advanced Kongsberg Maritime technologies aimed at energy conservation and emission reduction. These hybrid tankers can operate on diesel, biofuel, or methanol and are equipped with wind-assist technology and Tärntank’s proprietary battery-powered Hybrid Solution®. 19% The wind-assist feature, set to be installed on the latest five vessels, is projected to cut emissions by up to Rune Ekornesvåg, Kongsberg Maritime’s Sales Director – Ship Design, expressed his enthusiasm about the contract: “This latest contract for our fuel-efficient and low-emission tanker design reaffirms the commitment of forward-thinking ship owners to integrating sustainable technologies into their fleets. “The vessels will feature our Promas propulsion system, which delivers fuel savings of over 6% compared to other systems . Additionally, the ships will utilise battery-powered hybrid propulsion, enhancing operational flexibility and minimising environmental impact.” Claes Möller, Chief Executive Officer at Tärntank, commented on the partnership's significance and future outlook. He said: “This combination of a good design and innovative systems installed to a newbuild vessel will reduce the carbon footprint of maritime operations beyond the regulatory requirements. This is a result of good cooperation between Kongsberg Maritime, China Merchants Jinling Shipyard (Yangzhou) and Tärntank. “Tärntank's customers NEOT/ST1, NESTE, ESSO/EXXON and PREEM, which all have a target to reduce their carbon footprint of the supply chain, play an important role in making this possible”. Kongsberg Maritime sees a growing demand for sustainable technologies in shipping so exploring future fuel types like methanol, ammonia and biofuels, with a specific focus on long-range vessels, is part of the company’s strategic approach to position itself as a front-runner in designing low-emission and sustainable solutions for the shipping industry. “As companies such as Tärntank pursue environmentally efficient shipping, we are committed to facilitating this transition. Our dedication to innovation, sustainability, and future emissions standards positions us to shape the maritime industry's future.” Rune Ekornesvåg, Kongsberg Maritime’s Sales Director – Ship Design This latest order brings the total number of ships in this design series to thirteen, 11 from Tärntank and a contract for two similar vessels (without suction sails) for Swedish operator Sirius Redri AB. The latest batch of tankers for Tärntank is currently under construction at the China Merchants Jingling Shipyard in Yangzhou, with the first delivery expected in 2025. The design concept, featuring wind-assist technology, won the prestigious Nor-Shipping Next Generation Ship Award in 2023.",,,,https://www.kongsberg.com/maritime/news-and-events/news-archive/2024/secures-contract-from-tarntank/
KONGSBERG MARITIME WINS STABILISER CONTRACT FOR TWO NEW FERRIES,"KONGSBERG MARITIME WINS STABILISER CONTRACT FOR TWO NEW FERRIES Kongsberg Maritime’s Dunfermline facility has announced a contract to supply Aquarius 50 Retractable Fin Stabilisers for two new ferries to be built by the Cemre Shipyard in Turkey for Scotland’s Caledonian Maritime Assets Limited (CMAL). 30 Jun 2022 The KONGSBERG Aquarius retractable fin stabilisers, due for delivery in 2023, are designed for high performance roll damping whilst offering low weight and high reliability coupled with low maintenance. The PLC based control system provides robust, reliable technology with simple operating interfaces and extremely comprehensive maintenance and diagnostic information through touch screens. The controls will also provide the innovative Eco feature for optimisation operation of the stabilisers. KONGSBERG has enjoyed a long term relationship with CALMAC having provided stabilisers for their vessels over many decades, together with through-life service support which has included upgrade programmes to existing vessels. Operating on the busiest service route on the Clyde and Hebrides network, the new 95 meter long vessels will have the capacity of  275-lanemeter for HGVs on the main deck and a total of 107 cars on both main and hoistable decks. Recep Portakal, Project Manager of Cemre Shipyard commented, “It is a big proud moment to build such tailored projects for the communities in Islay and Jura, we are looking forward to making the most out of the cooperation between Kongsberg Maritime and CMAL.” Jim Anderson, Director of Vessels of CMAL commented “We look forward to working again with the team at KONGSBERG to deliver stabilisers for our two new vessels for the communities in Islay and Jura. KONGSBERG has supplied stabilisers for many of the vessels in our fleet and is a trusted partner.” For further information, please contact: Gunvor Hatling Midtbø Vice President, Communications +47 99 21 42 09 Read more",,,,https://www.kongsberg.com/maritime/news-and-events/news-archive/2022/contract-to-supply-aquarius-50-retractable-fin-stabilisers/
Kongsberg Maritime Expands its Retractable Thruster Line,"Kongsberg Maritime Expands its Retractable Thruster Line The ULE PM 255 thruster has been designed specifically for larger vessels 24 June 2024 Kongsberg Maritime has announced the expansion of its ULE PM retractable azimuth thruster range with the introduction of a new model, designed specifically for a wide range of large vessels. The ULE PM thruster features an integrated electric prime mover positioned low between the steering gear, conserving over a meter of vertical space in the engineering compartment. This model stands out as the most compact retractable unit available for any given power requirement, allowing for straightforward, single-day installation. The latest addition, the ULE PM 255, is particularly suited for larger vessels. Its compact size, increased power density, and ease of installation make it a highly cost-effective choice. The thruster's high thrust and reliability are crucial for vessels utilizing Dynamic Positioning (DP) systems. Pasi Villanen, Product Line Manager at Kongsberg Maritime, stated, “Responding to customer feedback, we have developed this latest solution for larger vessels, including wind installation vessels, shuttle tankers, and other substantial offshore vessels. Our commitment to robust and reliable design principles ensures we deliver dependable products to our customers.” The ULE PM 255 thruster, like its smaller counterparts, is available as a Combi unit. This versatile unit functions as an azimuth thruster and, when retracted into a tunnel, as a tunnel thruster. Kongsberg Maritime's expertise in hull interaction design further enhances the benefits of this optimal combi-solution. Kongsberg Maritime supports its thruster range with comprehensive lifecycle services provided by a global service team, complemented by advanced monitoring solutions. These services facilitate informed decision-making and optimized maintenance scheduling. For more information, please contact: Craig Taylor Senior Manager PR & Communications (+44) 774 9584 285",,,24 June 2024,https://www.kongsberg.com/maritime/news-and-events/news-archive/2024/kongsberg-maritime-expands-its-retractable-thruster-line/
Peruvian fishing company TASA receives KONGSBERG’s first unmanned surface vehicle for fisheries,"Peruvian fishing company TASA receives KONGSBERG’s first unmanned surface vehicle for fisheries Peruvian fishing company TASA have today assumed ownership of the fishing industry’s first unmanned surface vessel (USV) for cost effective fish finding and oceanographic and marine resource monitoring. The Sounder USV from Kongsberg Maritime will be equipped with state-of-the-art acoustic technology including two echosounders, a low frequency sonar and a CTD sensor. Following the final sea trials in June in Norway, the vehicle enters Peruvian waters in September this year, and will start its mission to improve efficiency of capture operations and strengthen data acquisition capabilities to improve management of the available biomass. 15 Jun 2022 The vessel, named Guardian del Mar , has a length of 8 meters and the capability of reaching a speed of 12 knots. She does not require crew on board and her operating costs will represent about 0.6% compared to an average vessel of the industrial fishing fleet. With a navigation autonomy of more than 400 hours, the USV completes its mission objectives autonomously under human supervision and will gradually be upgraded with developments on situational awareness and collision avoidance. During the initial phase of implementing this new technology in their daily operations, TASA will gain valuable experience and training by supervising the USV from a nearby mothership. The Sounder USV includes autonomous capabilities such as anti-grounding, automatic object detection, CTD casts and much more. From the handover ceremony: From Left Ernesto Buenaño, Edward Sojo, Gonzalo de Romaña (TASA) and Bjørn Jalving, Kongsberg Maritime Guardian del Mar will join TASA's fleet of 48 vessels with the purpose of gathering information on the state of marine resources such as mackerel, horse mackerel and anchoveta, providing information on the location of schools to make fishing operations more efficient. In this way, the process of deploying the fleet will be made more efficient and bring about reductions in fuel consumption and the carbon footprint derived from these trips. The USV will also be used between fishing seasons to acquire oceanographic and fish research data to develop a better understanding of the ocean. Likewise, it will allow the collection of oceanographic information and fishing information that will be available to scientific institutes and analysis departments of TASA to better understand the development of the marine sector related to fishing. Data will also be made available to the Peruvian Navy to inform, identify, and allow people to board in emergency situations. Other technical characteristics in the system include the use of sophisticated equipment such as Kongsberg’s world leading Simrad SX90 fishing sonar and ES80 echo sounder. “ We are proud to bring this technological innovation to Peru, as the leading producer of fishmeal and fish oil. Although it has the purpose of improving the efficiency of our operations, it will also allow us to further strengthen the sustainability approach in the sector by being able to share valuable oceanographic data for scientific research and adequate fishing management in our country ”, commented Gonzalo de Romaña, CEO of TASA. Bjørn Jalving, Senior Vice President Technology, Kongsberg Maritime said, “KONGSBERG is proud to be a part of the Peruvian work for sustainable and efficient fisheries. TASA has shown a future-oriented approach by integrating the Sounder USV in their operations. We look forward to close cooperation when the vehicle is set in operation”. As this will be the first marine drone in operation within Peru, personnel from the General Directorate of Captaincies and Coast Guards (DICAPI) have visited the Kongsberg facility in Horten, Norway to see the USV in operation and to carry out the first regulatory framework for the regulation and use of unmanned vehicles, facilitating the entry of similar equipment into the Peruvian sea. For further information, please contact Gunvor Hatling Midtbø Vice President, Communications +47 99 21 42 09 Read more",,,,https://www.kongsberg.com/maritime/news-and-events/news-archive/2022/tasa-delivery/
Tärntank and KONGSBERG win Nor-Shipping’s 2023 Next Generation Ship Award,"Tärntank and KONGSBERG win Nor-Shipping’s 2023 Next Generation Ship Award The hybrid tankers being built for Danish tanker operator Tärntank, with technology and engineering provided by Kongsberg Maritime have won the 2023 Nor-Shipping Next Generation Ship Award. 05 June 2023 Text: Craig Taylor, Senior Manager PR & Communications Photo: ©Kongsberg Maritime The honour was announced today at Oslo City Hall. Nominations and the award go to vessels that are “trailblazing” for their smart, sustainable maritime operation. Organisers described this year’s competition as “intense”. Tärntank’s three, 15,000dwt hybrid tankers can operate on diesel, biofuel or methanol, and feature wind-assist technology plus Tärntank’s own battery-powered Hybrid Solution®. Kongsberg Maritime provided design, engineering and equipment for the vessels, which are being built in China. The KONGSBERG-Tärntank project beat three other contenders, who were selected by an international jury that included Award President Remi Eriksen, Group President and CEO, DNV. “Given how strong all the entries were for this year’s award, I am extremely proud of our achievement. This award is a testament that KONGSBERG solutions on emissions reduction lead the way and offer ship owners truly effective and competitive methods to achieve their sustainability targets.” Lisa Edvardsen Haugan, President of Kongsberg Maritime The nominated vessels were assessed across the key criteria of energy efficiency, innovation, suitability and flexibility, technology utilisation, safety and security, and environmental sustainability. This year saw three of four entries that featured wind-assist technology. The new Tärntank tankers will reduce carbon emissions using a combination of clean technologies. The wind-assist technology alone is expected to reduce emissions by up to 19%. The new vessels are to have an Energy Efficiency Design Index close to 40% below the 2025 Phase 3 requirements. Nor-Shipping 2023 runs from 6-9 June in Lillestrøm and Oslo For further information, please contact: Craig Taylor Senior Manager PR & Communications (+44) 774 9584 285",,,05 June 2023,https://www.kongsberg.com/maritime/news-and-events/news-archive/2023/tarntank-and-kongsberg-win-nor-shippings-2023-next-generation-ship-award/
Kongsberg Maritime’s Next Generation Feeder Containership design receives Approval in Principle from DNV.,"Kongsberg Maritime’s Next Generation Feeder Containership design receives Approval in Principle from DNV. Kongsberg Maritime’s innovative next generation 2000 TEU container feeder vessel design has received Approval in Principle from classification society DNV. 07 June 2023 Text: Craig Taylor, Senior Manager PR & Communications Photo: ©Kongsberg Maritime The new design, known as ‘Cobalt Blue’ features a range of innovative features for the container feeder market. These include an open-top deck, forward deckhouse, and a modular design which will ensure the vessel can easily be upgraded over time to transition through fuel types during the working life of the ship. The new vessel has been designed in partnership with Deltamarin and its core aims are to offer ship owners a future-proof vessel that delivers efficiencies and sustainability benefits, while preparing the sector for future developments such as the need to switch to alternative fuels to meet tighter emissions requirements. Oskar Levander, Kongsberg Maritime’s SVP, Business Concepts said: “We’re delighted to have received Approval in Principle for this innovative design that can offer owners a truly future-proofed vessel in the container feeder market. This independent assessment of our design concept has confirmed that the Cobalt Blue, with all its innovative features, is a feasible proposition with no major obstacles to enable it becoming reality. “The container feeder market will need to go through fleet renewal in the coming years and owners will be carefully considering their options. With future emissions reductions in mind, future ships will have to include the use of alternative fuels and this design will enable owners to invest in a vessel that can evolve over time”. Oskar Levander, Kongsberg Maritime’s SVP, Business Concepts With the ship’s the modular design, there is room for adding future innovations. It can be built now with a dual-fuel main engine, that will run on LNG or diesel fuels. Then there is the possibility to switch to low carbon fuels such as biogas, synthetic methane or ammonia in order to reduce greenhouse gas emissions. Oskar Levander added: “Furthermore, it can transition onto green ammonia fuel with a small pre-planned conversion to allow for zero carbon operation. The vessel can easily be reconfigured to accommodate the additional tanks required for alternative fuels and there can also be room for battery containers to enable emission-free operation close to port.” Esa Jokioinen, Director Sales, Deltamarin added: “We are thrilled about this jointly developed vessel concept and very pleased with DNV who provided valuable support during the design and AIP process. With changing requirements, it’s important to think outside the box in ship design. Cobalt Blue provides innovative and cost-effective way to think about vessel flexibility over its lifetime and provides a concept with a clear path for zero emission operation in the future.” There is no requirement for heavy cargo hatches and the forward deckhouse will help protect the cargo from green water coming onto the ship. The range of KONGSBERG equipment on the vessel can also extend to include propulsion and control systems and an active stabiliser system with intelligent weather routing and steering to minimise the risk of cargo loss. Future proof container news Going forward: what does the future hold for container vessels? Kongsberg Maritime’s integrated systems have been designed to help vessel owners prepare for the fuels and demands of tomorrow LNG and intelligent power generation: A quick way to cut emissions for container vessels LNG fuel and use of PTOs could be key to ensuring that container vessels are as efficient, sustainable and future-ready as possible. Letting digital technologies do the heavy lifting Digitalisation is the key to efficiency, safety and success in the container vessels of tomorrow – and today For further information, please contact: Craig Taylor Senior Manager PR & Communications (+44) 774 9584 285",,,07 June 2023,https://www.kongsberg.com/maritime/news-and-events/news-archive/2023/next-generation-feeder-containership/
