patent_code,priority_date,url
US2457962A,1945-02-19,https://patents.google.com/patent/US2457962A/en
US2524162A,1945-02-27,https://patents.google.com/patent/US2524162A/en
US2436407A,1945-01-09,https://patents.google.com/patent/US2436407A/en
US2461517A,1945-01-05,https://patents.google.com/patent/US2461517A/en
US2433521A,1945-03-01,https://patents.google.com/patent/US2433521A/en
US2540130A,1945-01-10,https://patents.google.com/patent/US2540130A/en
US2395711A,1945-01-05,https://patents.google.com/patent/US2395711A/en
US2516222A,1945-01-26,https://patents.google.com/patent/US2516222A/en
US2464957A,1945-02-27,https://patents.google.com/patent/US2464957A/en
US2656060A,1945-01-20,https://patents.google.com/patent/US2656060A/en
US2391978A,1945-01-05,https://patents.google.com/patent/US2391978A/en
US2495676A,1945-01-22,https://patents.google.com/patent/US2495676A/en
US2567181A,1945-02-12,https://patents.google.com/patent/US2567181A/en
DE831489C,1945-01-19,https://patents.google.com/patent/DE831489C/en
US2423332A,1945-02-20,https://patents.google.com/patent/US2423332A/en
AU1868745A,,https://patents.google.com/patent/AU1868745A/en
AU124978B2,,https://patents.google.com/patent/AU124978B2/en
US2457828A,1945-02-01,https://patents.google.com/patent/US2457828A/en
CA425533A,,https://patents.google.com/patent/CA425533A/en
GB604136A,1945-02-27,https://patents.google.com/patent/GB604136A/en
SU70009A1,1945-02-11,https://patents.google.com/patent/SU70009A1/en
ES172151A1,1945-01-15,https://patents.google.com/patent/ES172151A1/en
ES168796A1,1945-01-30,https://patents.google.com/patent/ES168796A1/en
FR912200A,1945-02-12,https://patents.google.com/patent/FR912200A/en
GB688020A,1945-01-11,https://patents.google.com/patent/GB688020A/en
GB600071A,,https://patents.google.com/patent/GB600071A/en
US2436980A,1945-01-01,https://patents.google.com/patent/US2436980A/en
US2417237A,1945-01-31,https://patents.google.com/patent/US2417237A/en
US2444049A,1945-01-26,https://patents.google.com/patent/US2444049A/en
US2450665A,1945-01-08,https://patents.google.com/patent/US2450665A/en
US2497852A,1945-03-01,https://patents.google.com/patent/US2497852A/en
US2425602A,1945-01-13,https://patents.google.com/patent/US2425602A/en
US2478842A,1945-01-19,https://patents.google.com/patent/US2478842A/en
US2448599A,1945-02-17,https://patents.google.com/patent/US2448599A/en
US2431263A,1945-01-18,https://patents.google.com/patent/US2431263A/en
US2426730A,1945-02-26,https://patents.google.com/patent/US2426730A/en
US2529147A,1945-02-27,https://patents.google.com/patent/US2529147A/en
US3016013A,1945-01-19,https://patents.google.com/patent/US3016013A/en
US2552377A,1945-02-08,https://patents.google.com/patent/US2552377A/en
DE872208C,1945-01-27,https://patents.google.com/patent/DE872208C/en
US2401646A,1945-02-28,https://patents.google.com/patent/US2401646A/en
US3016829A,1945-02-10,https://patents.google.com/patent/US3016829A/en
US2452552A,1945-01-10,https://patents.google.com/patent/US2452552A/en
US2471264A,1945-01-01,https://patents.google.com/patent/US2471264A/en
US2487786A,1945-01-23,https://patents.google.com/patent/US2487786A/en
US2456834A,1945-01-31,https://patents.google.com/patent/US2456834A/en
